image_00438.jpg 0.5 #['0000000000000000000', '1111111111111111111']
image_00390.jpg 0.42105263157894735 #['0000000000000000000', '1111001101111111111']
image_00391.jpg 0.42105263157894735 #['0000000000000000000', '1111001101111111111']
image_00383.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00384.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00385.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00386.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00387.jpg 0.39473684210526316 #['0000000000000000000', '1110001101111111111']
image_00469.jpg 0.39473684210526316 #['1110001110111111111', '0000000000000000000']
image_00047.jpg 0.3684210526315789 #['1110001111001111111', '0000000000000000000']
image_00216.jpg 0.3684210526315789 #['1111010000001111111', '0000110000000000000']
image_00217.jpg 0.3684210526315789 #['1111010000001111111', '0000110000000000000']
image_00218.jpg 0.3684210526315789 #['1111010000001111111', '0000110000000000000']
image_00378.jpg 0.3684210526315789 #['0000000000000000000', '1110001100111111111']
image_00379.jpg 0.3684210526315789 #['0000000000000000000', '1110001100111111111']
image_00380.jpg 0.3684210526315789 #['0000000000000000000', '1110001100111111111']
image_00381.jpg 0.3684210526315789 #['0000000000000000000', '1110001100111111111']
image_00382.jpg 0.3684210526315789 #['0000000000000000000', '1110001100111111111']
image_00467.jpg 0.34210526315789475 #['1110000110011111111', '0000000000000000000']
image_00468.jpg 0.34210526315789475 #['1110000110011111111', '0000000000000000000']
image_00369.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00370.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00371.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00372.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00373.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00374.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00375.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00376.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00377.jpg 0.3157894736842105 #['0000000000000000000', '1110001100001111111']
image_00368.jpg 0.2631578947368421 #['0000000000000000000', '1110000000001111111']
image_00048.jpg 0.21052631578947367 #['1110001111000100000', '0000000000000000000']
image_00219.jpg 0.21052631578947367 #['1111010000000100000', '0000110000000000000']
image_00220.jpg 0.21052631578947367 #['1111010000000100000', '0000110000000000000']
image_00221.jpg 0.18421052631578946 #['1111010000000000000', '0000110000000000000']
image_00226.jpg 0.18421052631578946 #['1111010000000000000', '0000110000000000000']
image_00049.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00050.jpg 0.15789473684210525 #['1110001110000000000', '0000000000000000000']
image_00197.jpg 0.15789473684210525 #['1111000000000100000', '0000010000000000000']
image_00198.jpg 0.15789473684210525 #['1111000000000100000', '0000010000000000000']
image_00199.jpg 0.15789473684210525 #['1111000000000100000', '0000010000000000000']
image_00200.jpg 0.15789473684210525 #['1111000000000100000', '0000010000000000000']
image_00224.jpg 0.15789473684210525 #['1111010000000000000', '0000010000000000000']
image_00227.jpg 0.15789473684210525 #['1111010000000000000', '0000010000000000000']
image_00228.jpg 0.15789473684210525 #['1111010000000000000', '0000010000000000000']
image_00229.jpg 0.15789473684210525 #['1111010000000000000', '0000010000000000000']
image_00231.jpg 0.15789473684210525 #['1111000000000000000', '0000110000000000000']
image_00466.jpg 0.15789473684210525 #['1110000110010000000', '0000000000000000000']
image_00196.jpg 0.13157894736842105 #['1110000000000100000', '0000010000000000000']
image_00225.jpg 0.13157894736842105 #['1110010000000000000', '0000010000000000000']
image_00230.jpg 0.13157894736842105 #['1111000000000000000', '0000010000000000000']
image_00232.jpg 0.13157894736842105 #['1111000000000000000', '0000010000000000000']
image_00194.jpg 0.10526315789473684 #['1110000000000100000', '0000000000000000000']
image_00195.jpg 0.10526315789473684 #['1110000000000100000', '0000000000000000000']
image_00205.jpg 0.10526315789473684 #['1110000000000100000', '0000000000000000000']
image_00207.jpg 0.10526315789473684 #['1110010000000000000', '0000000000000000000']
image_00367.jpg 0.10526315789473684 #['0000000000000000000', '1110000000000100000']
image_00465.jpg 0.10526315789473684 #['1110000010000000000', '0000000000000000000']
image_00206.jpg 0.07894736842105263 #['1110000000000000000', '0000000000000000000']
